objective,n_new,mean_distance,max_distance,median_distance,p90_distance,pct_covered_15min,open_site_ids,open_site_names
min_worst_case,9,2879.2103368057346,4909.453932496066,3046.419040154331,4623.806359192007,15.626718916297525,"[0, 1, 2, 3, 4, 6, 26, 38, 40, 62, 64, 70, 76, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Brookline Pool Building', 'Manchester Pool Building', 'McBride Swimming Pool Building', 'West Penn Recreation Center', 'Westwood Pool Guard Room', 'CARRICK LIBRARY', 'KNOXVILLE LIBRARY', 'WOODS RUN LIBRARY']"
min_worst_case,10,2877.7889172181,4909.453932496066,3043.0973135643717,4618.203538553274,15.626718916297525,"[0, 1, 2, 3, 4, 6, 21, 32, 40, 59, 64, 67, 70, 76, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Beechview Senior and Community Center', 'Hazelwood Community Center', 'McBride Swimming Pool Building', 'West End Senior Center', 'Westwood Pool Guard Room', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'KNOXVILLE LIBRARY', 'WOODS RUN LIBRARY']"
max_coverage,0,7147.955368399623,15810.94848484602,7010.443539667458,12449.722668733106,9.996973079939982,"[0, 1, 2, 3, 4]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center']"
max_coverage,1,7050.834878164771,15810.94848484602,7010.443539667458,12449.722668733106,15.243309042028622,"[0, 1, 2, 3, 4, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'MAIN (OAKLAND) LIBRARY']"
max_coverage,2,6807.582110024497,15810.94848484602,7010.443539667458,12449.722668733106,19.853340840963014,"[0, 1, 2, 3, 4, 12, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center', 'MAIN (OAKLAND) LIBRARY']"
max_coverage,3,6687.842293317915,15810.94848484602,7010.443539667458,12449.722668733106,23.343737692966155,"[0, 1, 2, 3, 4, 12, 44, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'East Liberty Community Center', 'Oliver Bath House', 'MAIN (OAKLAND) LIBRARY']"
max_coverage,4,6507.588251333662,15810.94848484602,6856.316988036387,12449.722668733106,26.15063646690079,"[0, 1, 2, 3, 4, 6, 12, 44, 79]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'East Liberty Community Center', 'Oliver Bath House', 'MAIN (OAKLAND) LIBRARY']"
max_coverage,5,6456.971832822021,15810.94848484602,6856.316988036387,12449.722668733106,28.936379347942832,"[0, 1, 2, 3, 4, 6, 12, 44, 79, 83]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'East Liberty Community Center', 'Oliver Bath House', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY']"
max_coverage,6,6042.687711495948,15810.94848484602,5998.480892910434,12008.705153812032,31.717565575131086,"[0, 1, 2, 3, 4, 6, 12, 44, 69, 79, 83]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'East Liberty Community Center', 'Oliver Bath House', 'BROOKLINE LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY']"
max_coverage,7,5862.284242918074,15810.94848484602,5809.994198160919,12008.705153812032,34.31550922234192,"[0, 1, 2, 3, 4, 6, 12, 44, 67, 69, 79, 83]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'East Liberty Community Center', 'Oliver Bath House', 'ALLEGHENY LIBRARY', 'BROOKLINE LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY']"
max_coverage,8,5763.795832588996,15810.94848484602,5693.745148886803,12008.705153812032,36.70156846535153,"[0, 1, 2, 3, 4, 6, 12, 44, 67, 69, 78, 79, 83]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'East Liberty Community Center', 'Oliver Bath House', 'ALLEGHENY LIBRARY', 'BROOKLINE LIBRARY', 'LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY']"
max_coverage,9,5570.677309782047,15810.94848484602,4982.084969421589,12008.705153812032,38.85588931236838,"[0, 1, 2, 3, 4, 6, 12, 44, 58, 67, 69, 78, 79, 83]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'East Liberty Community Center', 'Oliver Bath House', 'Warrington Recreation Center', 'ALLEGHENY LIBRARY', 'BROOKLINE LIBRARY', 'LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY']"
max_coverage,10,5455.608391705708,15810.94848484602,4468.619803452164,12008.705153812032,40.96138886809463,"[0, 1, 2, 3, 4, 6, 12, 39, 44, 58, 67, 69, 78, 79, 83]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'Oliver Bath House', 'Warrington Recreation Center', 'ALLEGHENY LIBRARY', 'BROOKLINE LIBRARY', 'LIBRARY FOR THE BLIND & PHYSICALLY HANDICAPPED', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY']"
